candidate_id,rank,score,reasoning
CAND_0044883,1,0.699872,"6.3yr at Mad Street Den as AI Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (70.5); high recruiter response (84%); minor penalty (0.2); last active: 56d ago"
CAND_0046064,2,0.697978,"8.9yr at Salesforce as Senior NLP Engineer (Pinecone, FAISS, RAG); strong semantic match (0.76); high career relevance; high recruiter response (78%); minor penalty (0.2); last active: 67d ago"
CAND_0088025,3,0.685314,"8.6yr at Yellow.ai as Staff Machine Learning Engineer (Pinecone, RAG); strong semantic match (0.76); high career relevance; active on GitHub (74.6); high recruiter response (83%); penalized (penalty=0.4); last active: 49d ago"
CAND_0071974,4,0.683593,7.8yr at Netflix as Senior AI Engineer (Pinecone); strong semantic match (0.74); high career relevance; active on GitHub (82.8); high recruiter response (76%); penalized (penalty=0.4); last active: 77d ago
CAND_0018499,5,0.681635,"7.2yr at Zomato as Senior Machine Learning Engineer (FAISS, RAG); strong semantic match (0.74); high career relevance; active on GitHub (94.8); penalized (penalty=0.5); last active: 50d ago"
CAND_0081686,6,0.68038,"6.0yr at Netflix as Search Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.74); high career relevance; high recruiter response (91%); penalized (penalty=0.4); last active: 68d ago"
CAND_0079064,7,0.66032,"5.2yr at Niramai as Senior Data Scientist (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.71); high career relevance; high recruiter response (91%); last active: 80d ago"
CAND_0029367,8,0.659453,"5.7yr at Rephrase.ai as Senior Data Scientist (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; high recruiter response (77%); penalized (penalty=0.4); last active: 43d ago"
CAND_0005260,9,0.65438,"5.2yr at Netflix as Senior NLP Engineer (FAISS, RAG); strong semantic match (0.75); high career relevance; high recruiter response (86%); penalized (penalty=0.4); last active: 53d ago"
CAND_0064326,10,0.651737,"7.6yr at Sarvam AI as Search Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; high recruiter response (94%); penalized (penalty=0.5); last active: 42d ago"
CAND_0055992,11,0.649883,"16.9yr at CRED as AI Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.73); high career relevance; high recruiter response (72%); minor penalty (0.2); last active: 96d ago"
CAND_0053591,12,0.648769,"5.3yr at Ola as AI Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (75.8); high recruiter response (81%); penalized (penalty=0.4); last active: 46d ago"
CAND_0036184,13,0.648746,"6.0yr at CRED as Recommendation Systems Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; high recruiter response (90%); penalized (penalty=0.5); last active: 37d ago"
CAND_0083307,14,0.646784,"7.8yr at CRED as Search Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.73); high career relevance; penalized (penalty=0.5); last active: 103d ago"
CAND_0074735,15,0.646133,"5.5yr at Rephrase.ai as Applied ML Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (87.7); high recruiter response (77%); penalized (penalty=0.4); last active: 96d ago"
CAND_0094056,16,0.643811,"5.9yr at Rephrase.ai as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; high recruiter response (82%); penalized (penalty=0.5); last active: 77d ago"
CAND_0077337,17,0.641043,"7.0yr at Paytm as Staff Machine Learning Engineer (Sentence-Transformers, RAG); strong semantic match (0.77); high career relevance; high recruiter response (95%); penalized (penalty=0.5); last active: 37d ago"
CAND_0060054,18,0.63847,"6.4yr at Mad Street Den as AI Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; high recruiter response (86%); minor penalty (0.2); last active: 107d ago"
CAND_0066376,19,0.636805,"5.7yr at Dream11 as Applied ML Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; last active: 60d ago"
CAND_0081846,20,0.636556,"6.7yr at Razorpay as Lead AI Engineer (Sentence-Transformers, FAISS, RAG); strong semantic match (0.75); high career relevance; high recruiter response (73%); penalized (penalty=0.5); last active: 60d ago"
CAND_0042029,21,0.63549,"6.5yr at Flipkart as Senior Data Scientist (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (78.7); penalized (penalty=0.4); last active: 80d ago"
CAND_0015578,22,0.634892,"5.4yr at Zoho as AI Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; minor penalty (0.2); last active: 92d ago"
CAND_0008425,23,0.634616,"7.8yr at Ola as Senior NLP Engineer (Pinecone, Sentence-Transformers); strong semantic match (0.74); high career relevance; penalized (penalty=0.4); last active: 68d ago"
CAND_0065195,24,0.634238,"5.1yr at CRED as Search Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (87.3); high recruiter response (80%); penalized (penalty=0.4); last active: 39d ago"
CAND_0086151,25,0.633945,"7.7yr at Wysa as Recommendation Systems Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.74); high career relevance; minor penalty (0.2); last active: 101d ago"
CAND_0039754,26,0.632605,"16.2yr at Meta as Senior Applied Scientist (RAG, Pinecone, Sentence-Transformers); strong semantic match (0.76); high career relevance; active on GitHub (77.5); high recruiter response (81%); penalized (penalty=0.5); last active: 49d ago"
